DateTime,Entries,UniqueIPs
1504472871,16,16
1504480090,13,13
1504483703,14,14
1504487297,17,17
1504490868,18,18
1504498089,17,17
1504501671,16,16
1504505274,17,17
1504516060,18,18
1504519671,17,17
1504530486,16,16
1504544874,17,17
1504559293,18,18
1504570126,17,17
1504573681,18,18
1504577280,19,19
1504580884,19,19
1504584493,19,19
1504588106,16,16
1504591679,16,16
1504595267,18,18
1504598870,21,21
1504606087,20,20
1504609698,18,18
1504613291,15,15
1504616871,19,19
1504620484,18,18
1504624101,18,18
1504631312,15,15
1504634893,17,17
1504638456,18,18
1504645699,16,16
1504649292,24,24
1504652895,25,25
1504660084,25,25
1504663679,18,18
1504667294,13,13
1504670875,16,16
1504678069,17,17
1504681678,16,16
1504685291,15,15
1504688863,16,16
1504692457,15,15
1504696094,17,17
1504699677,16,16
1504706909,13,13
1504710478,14,14
1504714071,16,16
1504717684,17,17
1504728484,16,16
1504732102,15,15
1504735665,16,16
1504746489,15,15
1504753656,17,17
1504757261,16,16
1504768057,15,15
1504775275,16,16
1504786086,15,15
1504789683,13,13
1504793281,14,14
1504796892,10,10
1504804084,9,9
1504807690,10,10
1504818497,11,11
1504822089,8,8
1504825678,11,11
1504829311,13,13
1504832904,14,14
1504836497,15,15
1504840108,14,14
1504843710,13,13
1504847296,12,12
1504854487,13,13
1504858087,15,15
1504861698,16,16
1504868907,17,17
1504872488,17,17
1504876085,16,16
1504883299,17,17
1504886890,16,16
1504897694,13,13
1504901299,11,11
1504904894,12,12
1504908494,13,13
1504912110,13,13
1504915752,14,14
1504919290,16,16
1504922924,13,13
1504926498,17,17
1504930112,18,18
1504933713,18,18
1504937273,21,21
1504940900,23,23
1504944507,24,24
1504948100,23,23
1504951697,21,21
1504955292,19,19
1504958899,20,20
1504962497,21,21
1504966109,22,22
1504969690,23,23
1504973295,22,22
1504976893,20,20
1504980494,18,18
1504987690,15,15
1504991296,13,13
1504994889,18,18
1505005693,20,20
1505009284,13,13
1505012861,14,14
1505016485,17,17
1505020073,18,18
1505027277,17,17
1505030874,15,15
1505034505,11,11
1505038077,10,10
1505045285,15,15
1505048859,17,17
1505059701,15,15
1505063286,14,14
1505070496,12,12
1505074083,12,12
1505077675,15,15
1505084871,17,17
1505088527,16,16
1505092099,14,14
1505095695,11,11
1505099300,11,11
1505102877,13,13
1505106504,14,14
1505113682,13,13
1505117301,12,12
1505120878,12,12
